"productCode","productName","productLine"
"S10_1949","1952 Alpine Renault 1300","Classic Cars"
"S10_4698","2003 Harley-Davidson Eagle Drag Bike","Motorcycles"
"S12_1099","1968 Ford Mustang","Classic Cars"
"S12_1108","2001 Ferrari Enzo","Classic Cars"
"S12_2823","2002 Suzuki XREO","Motorcycles"
"S12_3891","1969 Ford Falcon","Classic Cars"
"S18_1662","1980s Black Hawk Helicopter","Planes"
"S18_1749","1917 Grand Touring Sedan","Vintage Cars"
"S18_2238","1998 Chrysler Plymouth Prowler","Classic Cars"
"S18_3232","1992 Ferrari 360 Spider red","Classic Cars"